TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
76.18812567415767,76.18804259454255,72.50587732271201,72.50568451100649,67.93356822915905,59.51774084876114,39.425110778559,32.47800255109458,45.646303311777345,32.85236352578799,27.013489431299057,24.26074784111872
76.54821238746884,77.86710861231988,67.99947436849338,77.86710613227261,67.99949212966932,66.33450609620442,74.18594394594189,70.5098772002669,39.69468852158657,36.832704093298645,26.49519450584724,11.132415773366667
56.79757509137431,58.38436497545494,58.384389585817026,58.3844760059566,59.65448662637175,35.038076009736535,60.88110526957525,29.936767442771217,29.78748208919068,17.195307066325938,24.795266541074522,17.883309636471708
72.60100850636138,72.6012665720115,72.60123835373467,72.60142489150476,62.07463225834495,59.85318456635995,69.70437140770757,66.79649376367703,61.91463560742793,74.75017683737595,67.55815408130051,35.17059745628912
61.792269378433254,58.806509590115446,51.607393784931844,58.80635782229871,58.80651138563042,51.60719710758358,42.097548659390725,77.13758518484948,36.648778394225715,29.024179006740034,34.3191776416622,21.2543310979894
70.83791174852354,70.83708800520495,70.83760777898243,70.83733259304789,70.8379739211166,67.10228993999712,78.6797708371013,78.38359672857365,82.33957819626721,81.89911811587984,33.52998494661363,29.66462670506997
64.228962424577,59.03668757819979,58.77687164168559,59.037263002068734,58.7763749041413,58.73849055222367,64.16380179776897,59.82750158452284,58.167086973729766,33.69567194102698,31.75991835049456,16.68178558026576
65.54025333103284,65.54032649881353,61.60745261557127,65.54024243850762,63.158781214195116,63.15891463458717,75.86294974474879,66.2276863216631,39.93326072581012,31.04097658755321,63.06040771807083,31.99142269051356
65.54260776690205,56.36075326664411,56.3611165752827,56.36053415988977,53.45839565304095,51.83325262418656,37.246597389227986,65.47009057618914,38.276157262477874,43.63962833313932,35.857500754542556,19.422847342798235
83.21849290840463,83.21845023518713,86.710563455778,83.21854035086864,86.71071843608199,69.89383421561011,33.432014625428565,35.48339534954768,34.756238497226185,26.809900422506914,22.4380520619828,19.57010709186626
69.45154062541658,63.277006887439725,63.276789444069635,63.27707876527242,56.11142727189665,36.71695897771536,33.62655106147828,28.77432531902645,23.29150286796203,26.271323470298714,30.844413794697267,24.06420035543263
68.41519290388717,68.4157559200291,68.41591766914306,68.41549440216782,63.4405513896371,37.0964305435916,45.30183551158439,28.612975334868697,36.068699900098906,24.98479668540693,12.843171234859508,9.987824398900033
73.56179668476298,68.45820791870027,67.55051236105817,68.45824303658053,66.5624592001738,36.452636416475215,32.35334639719142,31.087440370938634,17.068133640178722,27.39066203977567,34.40998590682477,19.819830244784413
74.55032623668677,68.4941105982324,68.49404463930057,68.49363838630595,68.49383820661133,70.02737858245908,73.97044211990028,74.52902722489353,78.77096807224888,63.60361204983723,63.43709395561555,58.93448227127416
70.03014519494246,70.03018464931375,70.02981022483412,70.03000737916219,64.32810241587778,64.3276590735206,72.38295272520455,80.30035439426267,68.08831768685508,68.97680214463298,29.789586466100396,35.01802094721357
60.75021352938896,60.75024060045107,58.162790636145075,58.16323964004467,56.18634807813985,52.53604212242338,54.82490090723695,68.39354624520693,48.11309123948244,51.653173501190444,40.94264033637774,19.06170820522817
61.54876459572508,62.87743142186345,62.87747236899399,62.87754250938529,59.283730882558345,59.28407161307249,50.789108815003274,61.24306103390283,24.775760072475396,37.81575507275343,29.16047951047662,16.38030668370659
57.435573943119735,57.43547679351073,60.444262173828555,57.43555415571121,60.44427315109507,62.69991877903375,66.95560712457988,60.9735275812412,37.002459518056256,63.765161117125814,35.069111775928064,26.39341677540153
63.71499572059491,63.53806661403699,63.53822462891688,63.539332199879105,66.82459011043696,37.18168345209803,27.029660880820835,23.2543338825283,41.48774036669704,32.88432376387245,25.721695227636147,23.02274736810485
68.7319315273626,64.31624866032031,64.31616249601853,64.31657438922113,64.31594049597452,57.01567636895202,77.62703655047918,64.77185385142464,23.599011118641137,30.148780050099603,56.51161935520239,20.7327780302232
66.57463759262731,66.57440609953984,66.52999588543541,66.57454040652097,66.53000636437407,66.53009342644316,75.9675102722678,68.62880074099725,26.42401975476624,67.67596629647772,31.953999153806002,30.111174234077072
80.83332883564591,80.83313172590883,80.83286130804456,80.83358880521018,80.83294375918142,62.942645168011325,66.49486013145363,62.33713481390598,61.92593225927048,38.01222094522602,33.139655366889556,29.008526919516576
90.05583340156629,90.05566674343959,90.05571286934467,90.05583519261138,90.05589906756535,74.22700966213867,42.37958821823549,34.55074367360093,37.34852590750292,80.54658831955209,34.55253688573895,27.189000116609208
65.75835998683226,65.75707717418977,67.78787618472036,65.75789273433465,67.78745210366891,64.35738044942626,74.05906255788616,34.25912863398738,34.48979587308163,35.15337682185989,24.280114214957734,20.03210755868461
56.273726003264244,56.2735526787366,56.27315403465816,56.273335081732284,49.51776999807617,47.18925303512533,68.74498525343976,52.14121006988642,30.843126397040738,53.67694630813377,25.4293798125635,22.61527797029477
74.19616821766304,70.04823292713942,70.04829694998662,70.04824917632556,65.22662820831913,64.51139537667015,31.64030743044734,38.3804180131192,31.981730220142953,70.7376934068096,32.84002229994505,13.782501721807924
70.90377343949368,70.90391622735865,70.90388443666846,70.90371776117472,59.92738616544737,40.94408469166389,20.7964029126373,33.89652156411325,60.696055596345126,29.414750113144652,16.775860774932827,20.678352295284032
59.49099115204953,59.49077654657271,57.89408764165264,59.49009854386638,57.89429672806066,60.19518611028525,58.70070089649063,34.39152090719885,27.403271517941565,64.79174268037677,35.56073933663352,23.68357966770092
64.05961780713466,64.05973862878253,64.05994900502778,64.05978530319122,55.0162291740089,54.96858480734588,60.7991682163605,62.66382229377558,38.47289879215806,63.96868104500677,25.739575515145134,21.8092629436308
78.08324515167754,78.08324515175107,78.0833356962769,78.08318276073547,78.0832060273009,80.0706766734102,85.49023571551693,32.20232771156575,33.27589636836878,36.814525818694435,29.568155599496656,24.873772226916877
72.84387148947728,72.84372979845021,72.8440333755514,72.84368374274915,72.84397356849695,69.05121106410932,68.87414294532587,64.30486959112405,15.33608595644458,13.67133653503787,16.97351404317686,19.56208193864163
