TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-24.721957859972598,-24.721957859972598,-24.721957859972598,-24.721957859972598,-24.721957859972598,-24.721957859972598,-24.721957859972598,-inf,-24.721957859972598,-23.141743843666887,-24.721957859972598,-23.141743843666887
-31.77743551003417,-31.77743551003417,-31.77743551003417,-31.77743551003417,-31.77743551003417,-31.77743551003417,-31.41311470979828,-31.77743551003417,-31.77743551003417,-inf,-inf,-inf
-20.954659598666478,-20.954659598666478,-23.997164237721616,-20.954659598666478,-23.997164237721616,-inf,-18.190900956152873,-23.997164237721616,-23.997164237721616,-inf,-inf,-inf
-9.118898508219061,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-10.776281622433743,-31.626367520556794,-31.626367520556794,-31.626367520556794,-31.626367520556794,-31.626367520556794,-9.270010853851652,-31.626367520556794,-24.420043633202656,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-25.805124748243678,-25.805124748243678,-25.805124748243678,-25.805124748243678,-25.805124748243678,-25.805124748243678,-13.821231407304937,-inf,-inf,-18.85444354426874,-inf,-inf
-38.24350548887246,-38.24350548887246,-38.24350548887246,-38.24350548887246,-38.24350548887246,-38.24350548887246,-27.39913502659888,-28.043637788962,-14.980627159593274,-14.980627159593274,-25.575132156973662,-28.437056520084955
-33.834081398331605,-33.834081398331605,-33.834081398331605,-33.834081398331605,-33.834081398331605,-33.834081398331605,-18.378387980921644,-24.51933363125861,-24.51933363125861,-inf,-inf,-24.51933363125861
-19.52128414111318,-19.52128414111318,-19.52128414111318,-19.52128414111318,-19.52128414111318,-19.52128414111318,-18.679452178498494,-20.516155911744164,-20.516155911744164,-16.84529280181031,-16.224180867333803,-23.444455798524167
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.785656888295033,-19.785656888295033,-19.785656888295033,-19.785656888295033,-19.785656888295033,-inf,-19.785656888295033,-inf,-inf,-inf,-19.785656888295033,-inf
-24.791674880932927,-24.791674880932927,-24.791674880932927,-24.791674880932927,-24.791674880932927,-24.791674880932927,-inf,-inf,-19.90662683626614,-24.791674880932927,-24.791674880932927,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-12.28491330116756,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-28.9929787995533,-28.9929787995533,-28.9929787995533,-28.9929787995533,-28.9929787995533,-28.9929787995533,-32.82252813128947,-inf,-32.82252813128947,-inf,-28.9929787995533,-28.9929787995533
-13.560963707651245,-inf,-inf,-inf,-inf,-inf,-13.560963707651245,-inf,-inf,-inf,-inf,-inf
-30.562481603041153,-30.562481603041153,-30.562481603041153,-30.562481603041153,-30.562481603041153,-30.562481603041153,-21.160332503558905,-21.160332503558905,-24.44463308678685,-inf,-30.562481603041153,-inf
-22.738657052828486,-22.738657052828486,-22.738657052828486,-22.738657052828486,-22.738657052828486,-22.738657052828486,-11.479540100647958,-24.639123263105965,-20.459529185438427,-24.639123263105965,-24.639123263105965,-31.20663029547241
-31.280736726588096,-31.280736726588096,-31.280736726588096,-31.280736726588096,-31.280736726588096,-31.280736726588096,-22.390059237991405,-31.280736726588096,-inf,-inf,-22.390059237991405,-27.978173144442465
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-22.847941608480117,-59.35237243564362,-59.35237243564362,-59.35237243564362,-59.35237243564362,-59.35237243564362,-24.712762662067632,-29.098723443796047,-31.029302892811575,-59.35237243564362,-29.098723443796047,-59.35237243564362
-13.28084063714237,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
